Name,Artist,Year
The Dentists - I Had An Excellent Dream,,
Swell Maps 'Read about Seymour',,
Slint - Breadcrumb Trail,,
simply saucer - instant pleasure,,
Public Nuisnace - 5 Holy Man,,
Plagal Grind - Yes Jazz Cactus,,
My Love's On Fire,,
"Alpaca Brothers - The Lie (live at the Windsor Castle, Auckland, 10 May 1985)",,
Brian Eno  Golden Hours,,
Bill Nelson - Furniture Music - Red Noise 1979,,
Camberwell Now - Greenfingers,,
Bohemian Vendetta - 01 - Riddles & Fairytales - 1968 Self Titled Psychedelic Album,,
Pram - The Owl Service (Official Video),,
Squires - Going All the Way,,
The Servants - Transparent,,
Thinking Plague - Lycanthrope,,
The Mind's Eye - Help I'm Lost 1967,,
This Heat - A New Kind Of Water (w  Lyrics),,
This Kind of Punishment - Immigration Song,,
The Lords - Death Bells at Dawn (1966),,
Thank You For Being You,,
Ozean - Scenic,,
Music Machine - Point Of No Return,,
Mass - F.A.H.T.C.F.,,
Marmoset - Shatter the Lovely,,
Mainly Spaniards - That's What Your Friends Are For,,
Kennelmus - Dancing Doris,,
James Chance & the Contortions - I Can't Stand Myself,,
Hawkwind - Spiral Galaxy 28948,,
Harumi   First Impressions   1968,,
Hookworms - Beginners,,
A Town Named Squaresville,,
Chasing Rainbows,,
Colourbox - Tarantula,,
Crystal Syphon - In My Mind,,
Darkside - The Shadows of Knight,,
David Bowie - Rock n Roll Suicide,,
Cold Sun - here in the year,,
Dead Boys - Sonic Reducer - live,,
For The Love Of Ivy - Gun Club - Fire of Love - Sick Audio,,
The Jesus And Mary Chain - Just Like Honey (Official Music Video),,
Winechuggers - Causeway (cover),,
Wreck Small Speakers On Expensive Stereos - Alice In Wonderland,,
WATERLOO - why may i not know (Belg. 1971),,
IN CAMERA legion 1980,,
Gong - Love is how Y make it,,
GAMAUNCHE - I Saw The Light. Live audio at the Captain Cook Dunedin NZ - 1981,,
David Byrne & Brian Eno - Regiment,,
Apse - Closure,,
Gang of Four - Damaged Goods (EMI Version),,
Glaxo Babies - This Is Your Life,,
Crystal Syphon - Paradise,,
Twink - Tiptoe On The Highest Hill (1970),,
Tindersticks - Marbles,,
Freedom's Children The Homecoming,,
KENSINGTON MARKET SIDE I AM,,
KITCHENS OF DISTINCTION - IN A CAVE (VICOLAND TRIBUTE),,
New Colony Six - A Heart Is Made Of Many Things 1966,,
Pink Military - Did You See Her (orig 1980 single version),,
Public Nuisance - 1 Magical Music Box,,
Rain Parade - What She's Done To Your Mind (single) (1983),,
Robert Rental - Double Heart,,
Takeshi Terauchi & The Bunnys - Dark Eyes,,
The Fall Middle Mass,,
The Mekons - Where Were You (Single),,
The Raincoats - Fairytale In The Supermarket,,
The Blues Company - Experiment In Color,,
The Accent - Red sky at night,,
Nocturnal Projections - Walk in a straight line,,
Peter Jefferies - The Fate of the Human Carbine,,
Invisible People - Hamilton Streetcar,,
Plush Three Quarter Blind Eyes,,
Boards of Canada - Poppy Seed,,
Findhorn's Song,,
Beacon Street Union - My love is,,
Damon -[1]- Song Of A Gypsy,,
Gary Walker & The Rain - Magazine Woman 1968,,
Hookworms - Away   Towards (Official Video),,
The Neighb'rhood Childr'n - Long Years In Space,,
Gang of Four - Paralysed,,
The Beach Bullies - Sob Story,,
N.Z. POST-PUNK This Sporting Life - Total Loss,,
